"","asin","rating","verified","body","helpfulVotes","brand"
"1","B00V8STWY8",1,"true","There is no sims card in this. iPad. I assumed the sims card was always built in.....wrong. I think the information and description for this produce is misleading. It should clearly state. NO SIMS CARD so customer knows what the product is before buying. I would not bought it had I known. Betty M",6,"Apple"
"2","B00V8STWY8",1,"true","Purchased this certified refurbished iPad Air in May of 2015 for $426.00 After the latest Apple update in February 2016 the iPad would crash after just a few minutes of operation. I have synced it multiple times, and tried every fix offered on Apple support. Finally made an appointment at the Apple store this weekend and advised by the Apple tech the iPad is toast. It has a hardware issue and cannot be repaired. I contacted Square Deals Inc. the company I purchased the iPad through Amazon from, and was advised the iPad is out of warranty after only 9 months. This is my fault for not researching this information. I'm out $426.00 after nine months of using this product with no recourse. I will never purchase another refurbished product from Square Trade and caution anyone else from doing the same.",13,"Apple"
"3","B00V8STWY8",2,"false","It's work any zimcard?, like Indian zimcard? need your answer ASAP tnx",3,"Apple"
"4","B00V8STWY8",2,"true","I’m had a dent in the back",2,"Apple"
"5","B00V8STWY8",3,"true","Wrong product... it said iPad Air and it’s an iPad 4th gen. Not at all what I wanted but yes it’s in good shape and works for an old iPad!!",2,"Apple"
"6","B00V8STWY8",5,"true","Love it!!!!!!",NA,"Apple"
"7","B00VQQ294C",5,"true","Bought for my daughter, she uses it everyday and it is a very well kept item. Perfect condition and works just like new.",NA,"Apple"
"8","B00VQQ294C",5,"false","Extremely useful",1,"Apple"
"9","B00VQQ294C",5,"true","Very nice for the price (you can't beat refurbished).",NA,"Apple"
"10","B00VQQ294C",4,"true","Love my I pod touch!!",1,"Apple"
"11","B00VQQ294C",1,"true","Not up to date with latest iso, can’t upload apps!",NA,"Apple"
"12","B00VQQ294C",1,"false","Mine is icloud locked!!!",10,"Apple"
"13","B00VQQ294C",5,"true","I bought this for my grandson who is ten years old he loves it",NA,"Apple"
"14","B00VQQ294C",3,"true","freezes, has issues charging and staying charged so in this instance you get what you pay for- pretty much nothing.",4,"Apple"
"15","B00VQQ294C",5,"true","100% as advertised and I am 100% satisfied with the purchase. I would buy from the company again. Apple iPod touch 16GB (5th Generation) - Space Gray (Certified Refurbished)",NA,"Apple"
"16","B00VQQ294C",5,"true","Excellent!!!! Arrived very fast and items were as described. Will definitely purchase from seller in the future!!!!",NA,"Apple"
"17","B00VQQ294C",2,"true","Low battery life",NA,"Apple"
"18","B00VQQ294C",5,"true","Awesome! No glitches or appearance mishaps so far 😊😊😊",NA,"Apple"
"19","B00VQQ294C",4,"true","Is a little slow but that's to be expected from a last gen ipod. Overall it looks great (almost no ware) and is reliable.",1,"Apple"
"20","B00VQQ294C",5,"true","Extremely happy sometimes have to remind myself that it was used before. No problems at all everything was reset perfectly although it was packaged poorly. it came with a charger but with no transformer but I bought one an Eaglewood charger that was perfect.",11,"Apple"
"21","B00VQQ294C",5,"true","First I was worried about buying a used iPod but now I’m glad I did because I saved a bunch of money and I got a great product that works same !",9,"Apple"
"22","B00VQQ294C",5,"true","Sorry, this video is unsupported on this browser.  The ipod is good. Looks clean though it came with a slight crack on the top right. and the earpods were missing.v",7,"Apple"
"23","B00VQQ294C",1,"true","Slow and glitchy. Save your money and buy directly from apple. I had to send it back.",5,"Apple"
"24","B00VQQ294C",1,"true","DO NOT BUY IT. It stopped working after 2 days of using it !!!!!!",NA,"Apple"
"25","B00VQQ294C",5,"true","whats not to love",NA,"Apple"
"26","B00VQQ294C",1,"true","Did not hold charge very disappointed don’t buy this iPod",NA,"Apple"
"27","B00VQQ294C",5,"true","I love it. I have no complaints at this time.",1,"Apple"
"28","B00VQQ294C",1,"true","Item wa a supposed to be brand new, started going me issues within the first week of use. I couldn't listen to music with my headphones on without the voice control going haywire and fast forwarding the music, pausing tracks, skipping, and activating Siri and voice control when I shut off Siri. Called for a replacement , for my replacement and this one is now going me the same issues as well. This is ridiculous.",2,"Apple"
"29","B00VQQ294C",1,"true","This iPod will not stay charged for longer than two hours worth of use no matter how long we keep it plugged up for.",NA,"Apple"
"30","B00VQQ294C",1,"true","Won't charge at all",NA,"Apple"
"31","B00VQQ294C",1,"true","Don't ever buy a refurbished Apple product. I bought a 5th generation iPod in April for about $175. The battery life started to degrade within a week or 2. After less than 20 uses at the gym, the battery lasted less than 15 minutes when fully charged. So, I ordered a replacement battery kit and when I took the refurbed unit apart today, I discovered that several internal clips were broken and 2 mounting screws were missing from a previous shoddy repair. The new battery install failed, and now I need to buy a new ipod. I'm buying new this time and getting a warranty.",15,"Apple"
"32","B00VQQ294C",1,"true","Will not hold a charge, my daughter cannot use it if it is not plugged it. I tried to save $80 but ended up having to spend another $200 to replace this one with a new one. Not worth it.",3,"Apple"
"33","B00VQQ294C",5,"true","excellent",NA,"Apple"
"34","B00VQQ294C",5,"false","It is an amazing gift for my family, and everyone loves it.",1,"Apple"
"35","B00VQQ294C",5,"false","Omg I wish I can get another one I love it and would recommend to anyone",NA,"Apple"
"36","B00VQQ294C",4,"true","I received all of the iPods but one of them didn't come with the head phones or the cable",NA,"Apple"
"37","B00VQQ294C",4,"true","Its awesome!!!",NA,"Apple"
"38","B00VQQ294C",5,"true","I bought this for my boyfriend as a christmas present, its a great Ipod, everything works, it holds tons of games and music, and my boyfriend loves it.",NA,"Apple"
"39","B00VQQ294C",5,"true","Product came as described and very fast shipping. Our son enjoyed it for his birthday.",NA,"Apple"
"40","B00VQQ294C",1,"true","Too much stuff preloaded on it. I was only able to download part of my music library so you basically have to buy the 64",11,"Apple"
"41","B00VQQ294C",5,"true","Love the iPod I use it every day and is a lot easier to carry around while traveling love it works really great 😎",NA,"Apple"
"42","B00VQQ294C",5,"true","Na",NA,"Apple"
"43","B00VQQ294C",3,"true","The iPod is in nice shape, however the ad is not accurate. It does not include the charger; which is an original accessory. Also, it doesn't come in a box, so if this is a gift they'll know it is used. Very disappointed!",8,"Apple"
"44","B00VQQ294C",4,"true","Pretty satisfied. One question. Having trouble installing Facebook any suggestions.. Thank you",NA,"Apple"
"45","B00VQQ294C",1,"true","great product but the apple headphones were not included and the seller has ignored my emails.",NA,"Apple"
"46","B00VQQ294C",1,"true","The iPod would not hold the battery charge , I returned it",NA,"Apple"
"47","B00VQQ294C",3,"true","good for about 1.5 years but gets glitchy after that",NA,"Apple"
"48","B00VQQ294C",2,"true","Didnot like it",NA,"Apple"
"49","B00VQQ294C",3,"true","This iPod works great. Only reason it didn't get 5 stars was the hard shell case that it comes in was damaged and it didn't have the plug that the sub charger plugs into. But not a bad device at all",1,"Apple"
