"","asin","rating","verified","body","helpfulVotes","brand"
"1","B079142R7Y",5,"true","Has many great features!",NA,"ASUS"
"2","B079142R7Y",5,"true","A week with this phone. So far is good. Fast. Works with AT&T. Easy to set up.",NA,"ASUS"
"3","B079142R7Y",5,"false","Never owned an asus zenphone. and wow this phone is a killer. Love the design and the features it has built-in. Amazing battery life and awsome cameras with some high tech features. Not a single complaint. Cant wait for oreo update. Thanks asus.",1,"ASUS"
"4","B079142R7Y",2,"false","Update (9/1/2018) Taking off 3 stars. Clock is no longer appearing on lock screen. Initial review: Got this ASUS ZenFone Max Plus (ZB570) on Amazon Prime day. Love it. It even has FM Radio; I can listen to the radio without using data or Wi-Fi. Finger scan feature works flawlessly.",NA,"ASUS"
"5","B079142R7Y",4,"false","One of the better inexpensive phones at the $200 range. I am swapping this out with a Honor 6x. While I thought the Honor 6x was a good phone the phone lacked a decent camera and was uberly laggy and would crash at times. The finger sensor is fairly quick on the Asus and the phone is agile for 3 GB ram. I am not a heavy gamer so I am unsure about the heating issues but that is standard. I have run GPS while charging on the phone and it does not heat up. I mainly use it for emails, productivity applications, texts, and phone calls and the occasional picture. I purchased one through Amazon Warehouse and it was in excellent condition and I saved $70. It works great with AT&T.",2,"ASUS"
"6","B079142R7Y",4,"false","Me gusto el equipo excelente en comparacion calidad precio, anteriormente usaba un Honor 8 y esta lo supera en calidad de imagen de la camara, sin embargo le faltan algunas aplicaciones de la acamara que si tiene huawei que lo harian genial. por el resto me gusto bastante,",NA,"ASUS"
"7","B079142R7Y",3,"false","A great buy -- battery, display, feel in hand, UX all very good Camera is the weak spot, in my opinion. I've had it for only a day. Update to come",NA,"ASUS"
"8","B079142R7Y",5,"true","A lot of phone at a great price. Plenty of features, a great looking screen and battery longevity.",1,"ASUS"
"9","B079142R7Y",5,"true","Love this phone. Was skeptical at first but I am so surprised at the quality and the performance of this device. I switched from a iphone and will never go back to an apple product ever again. Simply a awesome phone and at a super great price!!",NA,"ASUS"
"10","B079142R7Y",5,"true","Great price, perfect for my usage. I use simple apps, whatsapp, messenger, recipes, reading, internet browsing, Netflix, YouTube, all works great.",NA,"ASUS"
"11","B079142R7Y",4,"true","This phone really surprised me only because I hadn't heard of them or even knew of anyone owning one. The look of the screen is my favorite part. The camera reaction time I'm not sure if I can change yet but I don't care for that although the actual pictures when I do take a picture turns out great. Hopefully I figure that out. If not though the overall phone; appearance, size, price and speed I must say is exactly what I was looking for. Love it!",1,"ASUS"
"12","B079142R7Y",2,"true","Its been about 2 weeks since my purchase. I'm getting serious and progressively worsening cracking and static during calls. I'm not able to put phone to my ear. It's perfect apart from that, but it's a major issue",4,"ASUS"
"13","B079142R7Y",2,"true","I miss phone calls and texts on T-mobile. T-Mobile says it doesn't connect or work with part of their system. They have tried to fix it several times but it always goes back to missing calls and missing texts. It's a nice phone with a good battery.",1,"ASUS"
"14","B079142R7Y",1,"true","I bought this phone to replace an iPhone. When I received it I couldn’t get it to work and bring up the “home menu”. It had to be reset. After I upgraded the software, the menu stop working after a call. I sent it in as requested and when I got it back, the camera did not take pictures indoors that were in-focus. One of the main reasons I got this was for the 16 meg camera. The phone should have been replaced, not sent back in the condition it is in!",NA,"ASUS"
"15","B079142R7Y",5,"true","Its easy to use. Compatible to my plan . Haven't had any problems",2,"ASUS"
"16","B079142R7Y",5,"true","I like the way 5.7inch fits inside of a 5.5 inch shell. And I like the smoothness of the phone itself, but the battery is not what it say it dose,but the rest is excellent.",NA,"ASUS"
"17","B079142R7Y",1,"false","This is by far and away the worst smart phone I have had the misfortune to own. I only bought it because it was cheap at the Verizon store, and my wife already had used up our credits for a new iphone. You can't see the screen in daylight. That's it plain and simple. I've tried all the settings and they have little to no effect. The touchscreen is insensitive in normal mode and hypersensitive in glove mode. Either way, it will annoy the hell out of you when you can't swipe to get your calls or your breath on the phone ignites some almost random response. As soon as I save up enough credits I will get something else - ANYTHING ELSE - than this phone. You have been warned now! ASUS may make reasonably good laptops and PCs, but they can't make a decent phone.",1,"ASUS"
"18","B079142R7Y",5,"true","Great phone, nice photos, face and fingerprints recognition, great screen, the speed is pretty good too, way long more than I expected for the price, and the use of the doble SIM is wonderful very easy and intuitive, you can use both at the same time without even notice it, and also you can use a micro sd",NA,"ASUS"
"19","B079142R7Y",2,"true","La pantalla ya no se apago desde hoy, se queda encendida aunque la bloquee, o aunque lo deje de usar por mucho tiempo, la pantalla siempre esta encendida.",NA,"ASUS"
"20","B079142R7Y",4,"true","Not bad, but i thought Wifi system has little problem.... can not talk with video calling via duo....",NA,"ASUS"
"21","B079142R7Y",2,"true","The phone was ok but there was not much explanation of the carrier options. The only carrier I could get to activate was T Mobile. I gave the phone to a nephew because none of the other carriers would trade it.",NA,"ASUS"
"22","B079142R7Y",5,"true","I am an avid phone owner and always looking for an extra phone for games, music, etc. This phone is easily a perfect fit for someone who wants a cheaper smart phone that still has good performance. I haven't had any problems with playing games, streaming movies or music, or taking photos. The camera isn't the most high tech and won't give you razor sharp photos, but still functions and will give you better photos then any non smartphone that I know of. The only issue I have encountered is that there will often be a slow down on your WiFi connectivity while you are using Bluetooth on the phone which can be a bit of a downer for wireless headphone users, but even then for the price you pay it is a very good product",1,"ASUS"
"23","B079142R7Y",1,"true","Muy Inestable. Con fallas críticas de User Interface (Ver fotos). Falla en los peores momentos sin poder reaccionar saliendo del bloqueo solo apagandolo. Un parlante no funciona. Mala Señal 4G. Cuando la pierde, no recupera por si solo. Se debe reiniciar. No lo compren!! Es una pérdida de dinero.",3,"ASUS"
"24","B079142R7Y",1,"true","Pros: 1. Very inexpensive functional smartphone 2. Unlocked with 2 sim card slots Cons: 1. ZenUI subject to crashes and restarts (but really, can you expect this $200 smartphone to be as stable as a +$500 smartphone?) 2. Not durable. Without any rough treatment it stopped charging with only 10 months of use. 3. Asus support. Filed an RMA for repair under warranty and more than 48 hours later no response. Will update review if Asus honors the warranty.",NA,"ASUS"
"25","B079142R7Y",3,"true","So initially i was hyped about the dual rear cameras but they are not the best. A standard should be set by ASUS with regards to the RAM. 3Gs is not practical and for such a small amount of memory the processor is too slow. However the phone is usable and reasonably priced. Other than that, my only issue was the fact that I ordered a black phone and received a blue phone. Not a fussy person though so I was just glad it was working.",2,"ASUS"
"26","B079142R7Y",3,"true","At first I put up with the poor audio quality (couldn't hear the speakerphone unless you set it to ""outdoor mode"", which is highly distorted) and enjoyed decent battery life. Just a few months in the battery life has fallen off a cliff (despite factory reset and minimal apps) and the earpiece stopped working altogether.",2,"ASUS"
