"","asin","rating","verified","body","helpfulVotes","brand"
"1","B00D35Z6OE",1,"false","Huawei is Chinese for a cheap piece of s***!!!our Huawei they have a nasty habit of rebootingright in the middle of a call",1,"HUAWEI"
"2","B00D35Z6OE",4,"false","Bought this for sale at Officemax on Black Friday The Huawei Glory(Net10) runs on the Verizon Network and the call quality is very good and the reception I would rate as above average to good. What else I liked: The phone has Android O.S. Ice Cream Sandwich 4.0.4 installed and runs very smooth switching and opening up the various applications. The stock Android Browser did a great job as I browsed various mobile sites and websites. Youtube videos and streaming audio worked very good with the 3G speeds that my Glory was receiving at the time. Another positive is the solid construction of this phone. It is thicker than the Huawei Ascend 2( an older Huawei model) and you'd almost expect there to be a slide out keyboard. Some people do not like a bit bulkier phones but in this case I feel that Huawei took care for a more solid constructed phone resulting in hopefully a long phone life. For a phone of this price range the sound was surprisingly good. Loud enough but not too loud and you won't get that tinny sound you can get with some other inexpensive cell phones. Has a built in FM receiver along with an app and a widget. Up to 40 presets can be saved. What I didn't like: Camera is only 3.2 megapixels, no flash and no way to turn the shutter sound off. I'd say the camera would be adequate to use for bar code reader apps and portrait photos in reasonably well lit environments. Battery life isn't too good. Moderate use would chug through battery life. Best use would be voice calls and light data use and it may make it through a day if you're lucky. Downloading apps and streaming music blazed through battery life rapidly. Other than FM radio very disappointing as to the selection of included apps or widgets. Had the whole google suite of apps which I will not use anyway with the exception of the Google Play Store. It does have a version of Quickoffice that will only view documents-- no editing or creating. Phone doesn't come included with an sd card. Doesn't bother me as they're cheap enough to buy anyway. The Glory supports up to a 32 GB SD Card. A few more things. The SD card is in a poor location. The back cover must be removed and battery lifted from its slot to fit the card in its place across from where the battery sits. I did not use the wi-fi or bluetooth features yet. When I do use these I will return and update my review accordingly. All in all, this is a solid phone. 4 stars at the Black Friday price I paid and about 3.5 stars at regular price. If the Glory had a decent camera I would have bumped up the rating one notch.",35,"HUAWEI"
"3","B00D35Z6OE",5,"false","FOR BE IT WORKS GREAT. $ 7.00 A MOUTH TRACFONE 3X EVERY THING. DO NOT BUY NET 10. WAL-MART ACTIVATED AND MOVED DATE MIN S FROM OLD TRACFONE TO NEW. .",13,"HUAWEI"
"4","B00D35Z6OE",1,"false","Minus one star for the crap phone and minus another star for Net10's lack of service. $50 a month for data you cannot access and a phone that only works when it wants. The touch screen doesn't work when you touch it but will work in your pocket when you don't want it to. Then it will drop calls in the middle and sometimes re-boot itself with no warning. If it stays on for several days, it needs to be manually re-booted to function at all. Stay away from Huawei and Net10.",23,"HUAWEI"
"5","B00D35Z6OE",5,"true","Great product. Even better price. Thank you",NA,"HUAWEI"
"6","B00D35Z6OE",1,"true","DOES NOT WORK UNLESS YOU HAVE A CDMA TOWER CLOSE-BY NO SIM CARD",NA,"HUAWEI"
"7","B00D35Z6OE",4,"false","Ordered 2 of these phones. They are in good condition, they came with chargers, and batteries, overall pleased with items.",NA,"HUAWEI"
"8","B00D35Z6OE",5,"false","I have been using the Huawei GLORY H868C for about four months now and I am totally satisfied with it. I really like that it is on the Verizon network which means it works just about everywhere. The phone can perform the same functions as any other smart phone but costs a whole lot less. After my wife saw mine, she had to have one also. I do admit that my phone is a Tracfone variety rather than a Net10 one, but the phone is a good bargain.",6,"HUAWEI"
"9","B00D35Z6OE",5,"false","I have had this phone about a year, with TracFone. I used it about 6 months,like it okay, but since my husband had a Verizon phone and wanted me to try a larger android phone, I joined him in Verizon family plan. That is legalized burglary! I liked the LG g2 phone from Verizon ok, but it wasn't any better than the Huawei Glory, just bigger that took up too much room in my purse, and didn't fit in my pocket very well either. So I went back to my Glory phone and TracFone. (My husband still has Verizon.) My Glory sounds as good as the LG, and for $100 per year ( I bought the 365 day 400 min. airtime with triple minutes, and put the 16gb memory card in. I use wifi, so not much data is used, but I do text. I'm happy. Just wish TracFone's customer service people had decent American language so I could understand them.",2,"HUAWEI"
"10","B00D35Z6OE",1,"true","Piece of crap. worked for about a month then it quit 'ringing' ( or making any kind of noise at all) and YES we checked to see if it was on silent or turned down. also will just randomly cut me off and start blinking weird stuff on the screen, going 'in and out' (no its not the server, def the phone). Says the battery is fully charged and then 20 minutes later shows battery as drained. DO NOT WASTE YOUR MONEY ON THIS PHONE!",4,"HUAWEI"
"11","B00D35Z6OE",1,"false","Don't buy this phone. It is a piece of ... You'll regret it.",NA,"HUAWEI"
"12","B00D35Z6OE",1,"false","Just throw your money directly in the trash. It's far less frustrating. I have wanted to kill this phone since day 1. It has a mind of its own and it is always in full retard mode.",3,"HUAWEI"
"13","B00D35Z6OE",5,"true","My oldest son loves his phone!!",NA,"HUAWEI"
"14","B00D35Z6OE",3,"false","I purchased the Glory and used it for between 1 and 2 weeks just to try it out but didn't activate it. Its basic functions as an android device and communicating over wifi were fine. It seemed attractive and well made for a $100 device. Then I became interested in the ZTE Valet and bought one of those too. At someone's suggestion I installed an app called Quick System Info Pro on both phones. I'm no expert but this app seemed to indicate that the ZTE manages its memory much better - lots more available space in just about every category. Plus the ZTE was $20 less at BestBuy. I think the Glory is a little better made and operates a bit more smoothly, but the $20 and the memory factor swung it for me, I returned the Glory - but I don't think you'd be disappointed with it. BTW the Glory has an FM radio, which would be nice, but the Valet has a flash for its camera (which can be used as a flashlight); this seems to me to be a much more useful feature.",25,"HUAWEI"
"15","B00D35Z6OE",5,"true","So far I love it. It's a very good phone and I'm glad I ordered it.",NA,"HUAWEI"
"16","B00D35Z6OE",5,"true","Bien",NA,"HUAWEI"
"17","B00D35Z6OE",4,"false","It's a decent phone, but lacks a front-facing camera and has a very low resolution back facing camera. Runs Android 4.0 which is nice for getting in touch with all the apps the Play Store has to offer. Signing in to my apartment's wifi was also painless as the built in browser doesn't have difficulties with certificate authentication.",NA,"HUAWEI"
"18","B00D35Z6OE",3,"true","Would not recommend this phone for an adult.",NA,"HUAWEI"
"19","B00D35Z6OE",1,"false","I set up my phone, no problem. Then someone buys some minutes on my account then reverses the charge. Net10 shuts off my phone unless I pay for the minutes added to my phone. So I buy minutes and they reset my account to the minutes I just bought and change my phone number. I called an american number for service after arguing with Indian people about my account. So it was fixed. 2 days later my internet minutes were down to 0 from 1950 MB. I never used the internet, but it was gone. My phone must have been surfing without my knowledge.",6,"HUAWEI"
"20","B00D35Z6OE",1,"false","I bought this as my first smart phone, and I'm really wishing I'd spent some extra money on a phone that was worth my time. Every day I struggle with this piece of crap. It's slow, unresponsive, it constantly freezes on me. It closes apps at random. Most frustratingly, it keeps opening up the ""recent apps"" list in the middle of everything else I'm trying to do. I'll close the list and immediately it'll pop back up, and it'll do this until I get mad and restart the phone. The battery sometimes is good for a day or two, and sometimes the battery will be drained in a matter of a few hours, even if I haven't used it all day. Also, it doesn't come with a SD card. You have to buy it separately. The phone comes pre-loaded with a bunch of apps and features you really can't disable if you want to use it for anything other than a paper-weight, so if you like to play games or put music on it, you'll need to buy a SD card. In short: don't waste your time or money on this thing. It's just an expensive paper weight.",3,"HUAWEI"
"21","B00D35Z6OE",3,"true","not the most reliable phone. I would say it's slow and lags quite a bit with apps",1,"HUAWEI"
"22","B00D35Z6OE",1,"true","got a phone that could not be activated!!!!! tried to return but got nothing!!!!i lost $80!!!!!!!!!!!!!!! this is a rip off!!!!!",15,"HUAWEI"
"23","B00D35Z6OE",1,"false","Please stay away from this phone. The voice quality is horrible and Tracfone Net10 are useless to help you if you have a problem.",8,"HUAWEI"
