"","asin","rating","verified","body","helpfulVotes","brand"
"1","B07D9TTLZG",1,"false","Ridiculous pricing. Might as well opt for s9+ or note 8. Jesus....",17,"OnePlus"
"2","B07DCB61LG",5,"true","I have nothing but positive things to say about this phone. Great seller and fast shipping. Thank you",2,"OnePlus"
"3","B07DCB61LG",5,"true","really impressed by the operating speed and camera, this phone is just as good as its more expensive competitors.if you're looking for a new phone, the oneplus 6 is your answer.",1,"OnePlus"
"4","B07DCB61LG",5,"true","El envio fue rapido y el movil funciona muy bien. Todavia no he probado si funciona en Europa",NA,"OnePlus"
"5","B07DCB61LG",5,"true","I'm really happy with this phone.",NA,"OnePlus"
"6","B07DCB61LG",3,"true","This is a solid phone no doubt about it however for how expensive it is it's quite flawed as in the audio recording is horrid and picture quality is alright and it's got a few problems here and there I expected a little more from this phone. I've had it for a few months now so had to give it a honest trial before writing the review",NA,"OnePlus"
"7","B07DCB61LG",5,"true","This phone is pretty good. I'm still adjusting to the specs and all, but as a whole I do like the phone, and I'm glad someone recommended to look into this phone, since I really wasn't sure what to look for, but I definitely needed a phone that provided more RAM because I design and usually take photos with the phone.",NA,"OnePlus"
"8","B07DCB61LG",5,"true","Almost perfect phone. Great performance. Solid build. The best camera I've had yet. Easy to root and customize. Added Google camera app and get the benefits of night sight shots. Works great with T-MOBILE network (Ting). If you want flagship quality at a good price, highly recommend.",NA,"OnePlus"
"9","B07DCB61LG",5,"true","FAST, beautiful and feels steady. Good battery life with super fast charging speed. The OxygenOS 9 is just amazing. It's user-friendly and the navigation gestures work smoothly. So far, I really like my new phone.",1,"OnePlus"
"10","B07DCB61LG",5,"true","It's perfect. I don't think anyone needs something more, if they are going for the features , not the name. I love this phone , have been using it for several months , the battery is as good as it was in the beginning. It holds charge for one full day, and I use it a lot. It gets fully charged in an hour. I haven't used my power bank with this phone ever.",1,"OnePlus"
"11","B07DCB61LG",4,"true","Battery life has not impressed but I've only had it for two days maybe that will change . I did not get what was described a 6gb ram 64gb of storage instead I got 8 gb with 128 gn storage I'd say that was a very welcome free upgrade thanks",4,"OnePlus"
"12","B07DCB61LG",5,"true","I've been a long time one plus fan, I'm so glad I finally got one. Doesn't have the best battery in the world but that flaw is taken care of by its super fast charging. The A6000 actually came with oxygen os!",2,"OnePlus"
"13","B07DCB61LG",5,"true","Much better than I expected. I am delighted with this phone, if Oneplus maintain the prices, I will be a safe client",NA,"OnePlus"
"14","B07DCB61LG",1,"true","Both arrived shattered. Past the time of return before I went to install them.",NA,"OnePlus"
"15","B07DCB61LG",5,"true","Liked it",NA,"OnePlus"
"16","B07DCB61LG",5,"true","I didn't like that camera only for portrait mode. Everything else perfect, really nice phone.",NA,"OnePlus"
"17","B07DCB61LG",5,"true","Excellent phone. An Tu Tu Benchmark tests gave it a score of 293320, beating 85% of user scores around the world (rank 15 out of 51 as of this review) including the Galaxy S9+.",NA,"OnePlus"
"18","B07DCB61LG",5,"true","Fast charging. Satisfactory battery life and outstanding performance overall. Great value. Sound quality, not that great through speakers, but definitely not a deal breaker. Lovely build.",1,"OnePlus"
"19","B07DCB61LG",5,"true","It took a long time to arrive, but the wait worth it. This phone is super fast and doesn't lag at all. Fully recommended!",NA,"OnePlus"
"20","B07DCB61LG",5,"true","The absolute perfect phone! It has 8gb of room, not 6gb as listed. Bang for the buck of the decade!",1,"OnePlus"
"21","B07DCB61LG",5,"true","Never expected this high quality. One serious phone in every way. Love it! Will get one for my wife also.",1,"OnePlus"
