"","asin","rating","verified","body","helpfulVotes","brand"
"1","B07F3YGL26",5,"true","I just love it.",NA,"Xiaomi"
"2","B07FM9913M",3,"true","Phone stopped charging after 2 months of using.",NA,"Xiaomi"
"3","B07FM9913M",5,"true","It was very good cellphone 👍 I liked it",NA,"Xiaomi"
"4","B07FM9913M",5,"true","Thanks, services excelent 5 stars 💪🏼 i recommended it...",NA,"Xiaomi"
"5","B07FM9913M",5,"true","Excelente relación calidad precio",NA,"Xiaomi"
"6","B07FM9913M",5,"true","Mejor de lo que esperaba!! Cambie iPhone por Xiaomi!!!",NA,"Xiaomi"
"7","B07FM9913M",5,"true","Oh my my my!!! This too good to be true. Because of the reviews I bought this phone and I'm glad I did. Perfect screen, good camera, my favorite is the sound, it's as if I'm watching TV or a movie. Good size.i updated without any problems. I pray it stays so. Please get it, you won't regret it. I love it.",2,"Xiaomi"
"8","B07FM9913M",4,"true","It's a good phone",NA,"Xiaomi"
"9","B07FM9913M",5,"true","Very good, worth the money, a few problems with data connectivity but nothing you can't get over",NA,"Xiaomi"
"10","B07FM9913M",4,"true","Muy excelente producto, solo no me gusta la cantidad de nits en la pantalla es muy baja!",NA,"Xiaomi"
"11","B07FM9913M",5,"true","The best phone I ever had!",NA,"Xiaomi"
"12","B07FM9913M",5,"true","Excellent",NA,"Xiaomi"
"13","B07FM9913M",5,"true","Muy buenos",NA,"Xiaomi"
"14","B07FM9913M",1,"true","I LOVED this phone!!! I hope those who have it already never experience this issue. I had it for 8 months with no problems. It woked really well and I love the large screen. However, I like a lot of people, have experienced it going into a bootloop that is impossible to get out of. I'm very sad! This is my 2nd xiaomi purchase (no issues with the a1, I just wanted an upgrade). I guess this is the risk of no warranty. I would say save your money on this particular model. Xiaomi A1 is awesome and I've heard good things about the Redmi note 7. Also look on YouTube for ""top budget phones"". Lots of great options without the flagship prices.",NA,"Xiaomi"
"15","B07FM9913M",5,"true","Muy buena relación costo-producto",NA,"Xiaomi"
"16","B07FM9913M",5,"true","Good budget phone",NA,"Xiaomi"
"17","B07FM9913M",5,"true","Great buy",NA,"Xiaomi"
"18","B07FM9913M",4,"true","Excelente celular para su precio",NA,"Xiaomi"
"19","B07FM9913M",5,"true","Really satisfied with the photo and camera. Occasionally sluggish, but it happens with every phone.",NA,"Xiaomi"
"20","B07FM9913M",4,"true","Raster phone",NA,"Xiaomi"
"21","B07FM9913M",5,"true","Excelente",NA,"Xiaomi"
"22","B07FM9913M",5,"true","I understood, Xiaomi anytime best.",NA,"Xiaomi"
"23","B07FM9913M",4,"true","Excelente relación precio: producto, llevo unos meses con el equipo y funciona de maravilla.",NA,"Xiaomi"
"24","B07FM9913M",4,"true","The phone did not come with a charger so I was using several of my chargers from past phones. This phone requires a beefy charger. I spent around $20 on a QC 4.0 30W with USB C on both ends of the fast charging cable. The phone now charges, and charges super quick. But the right charger, and you'll be happy with the phone. Original review: Phone will not charge without resetting phone. No solution.",2,"Xiaomi"
"25","B07FM9913M",5,"true","So, so good & quality",NA,"Xiaomi"
"26","B07FM9913M",5,"true","My Honor 7X was cracked and I didn't want to spend too much. Mi A2 from Xiaomi had 4gb of RAM and good reviews so I said why not. Cell signal on T-Mobile US was solid and WIFI was excellent AndroidOne... nice. A solid phone with value - you will be impressed for this price.",3,"Xiaomi"
"27","B07FM9913M",5,"true","Nice fit, no problems so far",NA,"Xiaomi"
"28","B07FM9913M",5,"true","I've only had this phone for a couple weeks. So far it has performed well above expectation. It is fairly responsive, and I was happy to get all of the android updates right away. There are not many bells and whistles in the interface, which I really appreciate. I was glad I was able to customize the feeds, and remove sources I don't trust. The fingerprint scanner is very responsive. The InfaRed was a nice little bonus, because I tend to lose remotes, but rarely my phone. It came with a usbC to headphone jack. It was noticeably missing NFC, but I am able to use my hardware keys with a male usbC to female usbA adapter (probably more secure anyways). Since this is the ""International Global Version"" it came with a European plug, and an adapter for use in the US. It's kinda a clumsy plug. I plug directly into my USB wall outlet, so it wasn't a big deal for me. All in all, I think it was a very good deal, as long as it holds up over time.",NA,"Xiaomi"
"29","B07FM9913M",3,"true","Seems like alot or phone for the money. Only reason I don't give it 5 stars is it seems to have random issues with not receiving calls or delayed text sending (in the us in mint / TMobile) didn't seem to have these issues on my lg g6 . Camera is not bad. Not as good as my few yrs older lg G6 but not really the same price range phone. Still trying to figure out what it works with in America . Supposedly it doesn't get lte or 3g on mint but it does . Maybe not call bands lte? If it worked %100 reliable on this carrier it would be a crazy good deal",NA,"Xiaomi"
"30","B07FM9913M",4,"true","I love this cellphone but , the charger dont working :/",NA,"Xiaomi"
"31","B07FM9913M",1,"true","Straight after I bought it the screen would lock itself whilst scrolling or watching something, even texting. After 8 months of use it went into a bootloop which I realized was extremely common with all xiaomi devices and unfortunately has no fix even if its caused by an official update. Xiaomi has no warranty for items purchased by amazon. So now I have to throw it in the trash.",NA,"Xiaomi"
"32","B07FM9913M",1,"true","Bricked after January 2019 update",1,"Xiaomi"
"33","B07FM9913M",5,"true","Very happy with the purchase.",NA,"Xiaomi"
"34","B07FM9913M",5,"true","Recomendado",NA,"Xiaomi"
"35","B07FM9913M",5,"true","Recibido en tiempo y forma. Funciona muy bien, buena camara. Ideal.",NA,"Xiaomi"
"36","B07FM9913M",5,"true","A tiempo",NA,"Xiaomi"
"37","B07FM9913M",5,"true","Best cheap phone u can get. Delivery fast 7 days to South Africa very happy",NA,"Xiaomi"
